t,distances,motor_l,motor_r,state,target_deg,search_side
0.004,12.00;12.00;12.00;12.00;12.00;12.00;8.08;12.00;12.00;12.00;12.00;12.00;12.00,0.5,0.5,FORWARD,0.0,
0.119,12.00;12.00;12.00;12.00;12.00;12.00;8.03;12.00;12.00;12.00;12.00;12.00;12.00,0.5,0.5,FORWARD,0.0,
0.229,12.00;12.00;12.00;12.00;12.00;12.00;7.86;12.00;12.00;12.00;12.00;12.00;12.00,0.5,0.5,FORWARD,0.0,
0.338,12.00;12.00;12.00;12.00;12.00;12.00;7.55;12.00;12.00;12.00;12.00;12.00;12.00,0.5,0.5,FORWARD,0.0,
0.445,12.00;12.00;12.00;12.00;12.00;12.00;7.23;12.00;12.00;12.00;12.00;12.00;12.00,0.5,0.5,FORWARD,0.0,
0.555,12.00;12.00;12.00;12.00;12.00;12.00;7.01;12.00;12.00;12.00;12.00;12.00;12.00,0.5,0.5,FORWARD,0.0,
0.665,12.00;12.00;12.00;12.00;12.00;12.00;6.69;12.00;12.00;12.00;12.00;12.00;12.00,0.5,0.5,FORWARD,0.0,
0.772,12.00;12.00;12.00;12.00;12.00;12.00;6.42;12.00;12.00;12.00;12.00;12.00;12.00,0.5,0.5,FORWARD,0.0,
0.88,12.00;12.00;12.00;12.00;12.00;12.00;6.18;12.00;12.00;12.00;12.00;12.00;12.00,0.5,0.5,FORWARD,0.0,
0.992,12.00;12.00;12.00;12.00;12.00;12.00;5.86;12.00;12.00;12.00;12.00;12.00;12.00,0.006,0.486,FORWARD,-35.0,
1.104,12.00;12.00;12.00;12.00;12.00;12.00;5.69;12.00;12.00;12.00;12.00;12.00;12.00,0.005,0.462,FORWARD,-35.0,
1.209,12.00;12.00;12.00;12.00;12.00;5.60;12.00;12.00;12.00;12.00;12.00;12.00;12.00,0.0,0.433,FORWARD,-40.0,
1.319,12.00;12.00;12.00;12.00;12.00;5.49;12.00;12.00;12.00;12.00;12.00;12.00;12.00,0.0,0.418,FORWARD,-40.0,
1.426,12.00;12.00;12.00;12.00;12.00;5.31;12.00;12.00;12.00;12.00;12.00;12.00;12.00,0.0,0.393,FORWARD,-40.0,
1.534,12.00;12.00;12.00;12.00;12.00;5.21;12.00;12.00;12.00;12.00;12.00;12.00;12.00,0.0,0.379,FORWARD,-40.0,
1.644,12.00;12.00;12.00;12.00;5.16;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00,0.0,0.5,FORWARD,-45.0,
1.751,12.00;12.00;12.00;12.00;5.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00,0.0,0.5,FORWARD,-45.0,
1.861,12.00;12.00;12.00;12.00;4.90;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00,0.0,0.5,FORWARD,-45.0,
1.976,12.00;12.00;12.00;4.84;4.76;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00,0.0,0.5,FORWARD,-45.0,
2.093,12.00;12.00;12.00;4.63;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00,0.5,0.5,FORWARD,0.0,
2.2,12.00;12.00;12.00;4.41;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00,0.562,0.159,FORWARD,20.0,
2.309,12.00;12.00;12.00;4.26;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00,0.562,0.159,FORWARD,20.0,
2.416,12.00;12.00;12.00;4.11;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00,0.562,0.159,FORWARD,20.0,
2.526,12.00;12.00;12.00;3.91;4.32;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00,0.553,0.098,FORWARD,25.0,
2.636,12.00;12.00;12.00;3.78;3.66;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00,0.214,-0.026,FORWARD,25.0,
2.744,12.00;12.00;12.00;3.71;3.58;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00,0.207,-0.033,FORWARD,25.0,
2.853,12.00;12.00;12.00;3.68;3.54;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00,0.204,-0.036,FORWARD,25.0,
2.964,12.00;12.00;12.00;3.66;3.50;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00,0.2,-0.04,FORWARD,25.0,
3.07,12.00;12.00;12.00;3.64;3.47;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00,0.198,-0.042,FORWARD,25.0,
3.179,12.00;12.00;12.00;3.62;3.44;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00,0.198,-0.042,FORWARD,25.0,
3.287,12.00;12.00;12.00;12.00;3.41;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00,0.198,-0.042,FORWARD,25.0,
3.394,12.00;12.00;12.00;12.00;3.39;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00,0.198,-0.042,FORWARD,25.0,
3.505,12.00;12.00;12.00;12.00;3.37;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00,0.198,-0.042,FORWARD,25.0,
3.612,12.00;12.00;12.00;12.00;3.34;3.70;12.00;12.00;12.00;12.00;12.00;12.00;12.00,0.19,-0.05,FORWARD,30.0,
3.721,12.00;12.00;12.00;12.00;3.32;3.19;12.00;12.00;12.00;12.00;12.00;12.00;12.00,0.19,-0.05,FORWARD,30.0,
3.83,12.00;12.00;12.00;12.00;3.30;3.16;12.00;12.00;12.00;12.00;12.00;12.00;12.00,0.19,-0.05,FORWARD,30.0,
3.938,12.00;12.00;12.00;12.00;3.28;3.14;12.00;12.00;12.00;12.00;12.00;12.00;12.00,0.19,-0.05,FORWARD,30.0,
4.044,12.00;12.00;12.00;12.00;3.27;3.11;12.00;12.00;12.00;12.00;12.00;12.00;12.00,0.19,-0.05,FORWARD,30.0,
4.151,12.00;12.00;12.00;12.00;3.25;3.08;12.00;12.00;12.00;12.00;12.00;12.00;12.00,0.19,-0.05,FORWARD,30.0,
