t,distances,motor_l,motor_r,state,target_deg,search_side
0.001,12.00;12.00;12.00;12.00;12.00;12.00;8.08;12.00;12.00;12.00;12.00;12.00;12.00,0.5,0.5,FORWARD,0.0,
0.105,12.00;12.00;12.00;12.00;12.00;12.00;8.03;12.00;12.00;12.00;12.00;12.00;12.00,0.5,0.5,FORWARD,0.0,
0.212,12.00;12.00;12.00;12.00;12.00;12.00;7.92;12.00;12.00;12.00;12.00;12.00;12.00,0.5,0.5,FORWARD,0.0,
0.319,12.00;12.00;12.00;12.00;12.00;12.00;7.57;12.00;12.00;12.00;12.00;12.00;12.00,0.5,0.5,FORWARD,0.0,
0.429,12.00;12.00;12.00;12.00;12.00;12.00;7.27;12.00;12.00;12.00;12.00;12.00;12.00,0.5,0.5,FORWARD,0.0,
0.537,12.00;12.00;12.00;12.00;12.00;12.00;7.07;12.00;12.00;12.00;12.00;12.00;12.00,0.5,0.5,FORWARD,0.0,
0.648,12.00;12.00;12.00;12.00;12.00;12.00;6.76;12.00;12.00;12.00;12.00;12.00;12.00,0.5,0.5,FORWARD,0.0,
0.756,12.00;12.00;12.00;12.00;12.00;12.00;6.61;12.00;12.00;12.00;12.00;12.00;12.00,0.5,0.5,FORWARD,0.0,
0.867,12.00;12.00;12.00;12.00;12.00;12.00;6.21;12.00;12.00;12.00;12.00;12.00;12.00,0.5,0.5,FORWARD,0.0,
0.977,12.00;12.00;12.00;12.00;12.00;12.00;5.92;12.00;12.00;12.00;12.00;12.00;12.00,0.006,0.494,FORWARD,-35.0,
1.085,12.00;12.00;12.00;12.00;12.00;12.00;5.74;12.00;12.00;12.00;12.00;12.00;12.00,0.005,0.469,FORWARD,-35.0,
1.195,12.00;12.00;12.00;12.00;12.00;5.64;12.00;12.00;12.00;12.00;12.00;12.00;12.00,0.0,0.438,FORWARD,-40.0,
1.301,12.00;12.00;12.00;12.00;12.00;5.50;12.00;12.00;12.00;12.00;12.00;12.00;12.00,0.0,0.419,FORWARD,-40.0,
1.409,12.00;12.00;12.00;12.00;12.00;5.39;12.00;12.00;12.00;12.00;12.00;12.00;12.00,0.0,0.404,FORWARD,-40.0,
1.518,12.00;12.00;12.00;12.00;12.00;5.28;12.00;12.00;12.00;12.00;12.00;12.00;12.00,0.0,0.389,FORWARD,-40.0,
1.631,12.00;12.00;12.00;12.00;5.22;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00,0.553,0.098,FORWARD,25.0,
1.736,12.00;12.00;12.00;12.00;12.00;4.97;12.00;12.00;12.00;12.00;12.00;12.00;12.00,0.37,0.033,FORWARD,30.0,
1.842,12.00;12.00;12.00;12.00;12.00;4.86;12.00;12.00;12.00;12.00;12.00;12.00;12.00,0.354,0.031,FORWARD,30.0,
1.95,12.00;12.00;12.00;12.00;12.00;4.77;12.00;12.00;12.00;12.00;12.00;12.00;12.00,0.341,0.03,FORWARD,30.0,
2.062,12.00;12.00;12.00;12.00;12.00;4.71;12.00;12.00;12.00;12.00;12.00;12.00;12.00,0.332,0.029,FORWARD,30.0,
2.168,12.00;12.00;12.00;12.00;12.00;4.58;12.00;12.00;12.00;12.00;12.00;12.00;12.00,0.313,0.028,FORWARD,30.0,
2.28,12.00;12.00;12.00;12.00;12.00;4.50;12.00;12.00;12.00;12.00;12.00;12.00;12.00,0.301,0.027,FORWARD,30.0,
