t,distances,motor_l,motor_r,state,target_deg,search_side
0.002,12.00;12.00;12.00;12.00;12.00;12.00;8.08;12.00;12.00;12.00;12.00;12.00;12.00,0.5,0.5,FORWARD,0.0,
0.105,12.00;12.00;12.00;12.00;12.00;12.00;8.04;12.00;12.00;12.00;12.00;12.00;12.00,0.5,0.5,FORWARD,0.0,
0.212,12.00;12.00;12.00;12.00;12.00;12.00;7.83;12.00;12.00;12.00;12.00;12.00;12.00,0.5,0.5,FORWARD,0.0,
0.322,12.00;12.00;12.00;12.00;12.00;12.00;7.59;12.00;12.00;12.00;12.00;12.00;12.00,0.5,0.5,FORWARD,0.0,
0.432,12.00;12.00;12.00;12.00;12.00;12.00;7.30;12.00;12.00;12.00;12.00;12.00;12.00,0.5,0.5,FORWARD,0.0,
0.542,12.00;12.00;12.00;12.00;12.00;12.00;7.00;12.00;12.00;12.00;12.00;12.00;12.00,0.5,0.5,FORWARD,0.0,
0.652,12.00;12.00;12.00;12.00;12.00;12.00;6.75;12.00;12.00;12.00;12.00;12.00;12.00,0.5,0.5,FORWARD,0.0,
0.761,12.00;12.00;12.00;12.00;12.00;12.00;6.47;12.00;12.00;12.00;12.00;12.00;12.00,0.5,0.5,FORWARD,0.0,
0.869,12.00;12.00;12.00;12.00;12.00;12.00;6.21;12.00;12.00;12.00;12.00;12.00;12.00,0.5,0.5,FORWARD,0.0,
0.979,12.00;12.00;12.00;12.00;12.00;12.00;5.92;12.00;12.00;12.00;12.00;12.00;12.00,0.489,0.489,FORWARD,0.0,
1.088,12.00;12.00;12.00;12.00;12.00;12.00;5.65;12.00;12.00;12.00;12.00;12.00;12.00,0.451,0.451,FORWARD,0.0,
1.197,12.00;12.00;12.00;12.00;12.00;12.00;5.41;12.00;12.00;12.00;12.00;12.00;12.00,0.418,0.418,FORWARD,0.0,
1.305,12.00;12.00;12.00;12.00;12.00;12.00;5.18;12.00;12.00;12.00;12.00;12.00;12.00,0.386,0.386,FORWARD,0.0,
1.416,12.00;12.00;12.00;12.00;12.00;12.00;4.97;12.00;12.00;12.00;12.00;12.00;12.00,0.357,0.357,FORWARD,0.0,
1.522,12.00;12.00;12.00;12.00;12.00;12.00;4.79;12.00;12.00;12.00;12.00;12.00;12.00,0.332,0.332,FORWARD,0.0,
1.632,12.00;12.00;12.00;12.00;12.00;12.00;4.60;12.00;12.00;12.00;12.00;12.00;12.00,0.306,0.306,FORWARD,0.0,
1.741,12.00;12.00;12.00;12.00;12.00;12.00;4.43;12.00;12.00;12.00;12.00;12.00;12.00,0.003,0.144,FORWARD,-35.0,
1.852,12.00;12.00;12.00;12.00;12.00;4.39;4.33;12.00;12.00;12.00;12.00;12.00;12.00,0.0,0.134,FORWARD,-40.0,
1.959,12.00;12.00;12.00;12.00;12.00;4.34;4.30;12.00;12.00;12.00;12.00;12.00;12.00,0.0,0.13,FORWARD,-40.0,
2.068,12.00;12.00;12.00;12.00;12.00;4.30;4.26;12.00;12.00;12.00;12.00;12.00;12.00,0.0,0.127,FORWARD,-40.0,
2.176,12.00;12.00;12.00;12.00;12.00;4.26;4.23;12.00;12.00;12.00;12.00;12.00;12.00,0.0,0.125,FORWARD,-40.0,
2.285,12.00;12.00;12.00;12.00;12.00;4.22;4.20;12.00;12.00;12.00;12.00;12.00;12.00,0.0,0.122,FORWARD,-40.0,
2.396,12.00;12.00;12.00;12.00;12.00;4.18;12.00;12.00;12.00;12.00;12.00;12.00;12.00,0.0,0.119,FORWARD,-40.0,
2.503,12.00;12.00;12.00;12.00;12.00;4.14;12.00;12.00;12.00;12.00;12.00;12.00;12.00,0.0,0.116,FORWARD,-40.0,
2.614,12.00;12.00;12.00;12.00;12.00;4.11;12.00;12.00;12.00;12.00;12.00;12.00;12.00,0.0,0.114,FORWARD,-40.0,
2.723,12.00;12.00;12.00;12.00;12.00;4.08;12.00;12.00;12.00;12.00;12.00;12.00;12.00,0.0,0.112,FORWARD,-40.0,
2.832,12.00;12.00;12.00;12.00;12.00;4.04;12.00;12.00;12.00;12.00;12.00;12.00;12.00,0.0,0.11,FORWARD,-40.0,
2.94,12.00;12.00;12.00;12.00;12.00;4.01;12.00;12.00;12.00;12.00;12.00;12.00;12.00,0.0,0.108,FORWARD,-40.0,
3.051,12.00;12.00;12.00;12.00;12.00;3.98;12.00;12.00;12.00;12.00;12.00;12.00;12.00,0.0,0.106,FORWARD,-40.0,
3.16,12.00;12.00;12.00;12.00;12.00;3.95;12.00;12.00;12.00;12.00;12.00;12.00;12.00,0.0,0.103,FORWARD,-40.0,
3.269,12.00;12.00;12.00;12.00;12.00;3.92;12.00;12.00;12.00;12.00;12.00;12.00;12.00,0.0,0.101,FORWARD,-40.0,
3.375,12.00;12.00;12.00;12.00;3.96;3.89;12.00;12.00;12.00;12.00;12.00;12.00;12.00,0.0,0.092,FORWARD,-45.0,
3.484,12.00;12.00;12.00;12.00;3.93;3.86;12.00;12.00;12.00;12.00;12.00;12.00;12.00,0.0,0.09,FORWARD,-45.0,
3.593,12.00;12.00;12.00;12.00;3.90;3.84;12.00;12.00;12.00;12.00;12.00;12.00;12.00,0.0,0.088,FORWARD,-45.0,
3.702,12.00;12.00;12.00;12.00;3.87;3.82;12.00;12.00;12.00;12.00;12.00;12.00;12.00,0.0,0.086,FORWARD,-45.0,
3.81,12.00;12.00;12.00;12.00;3.85;3.79;12.00;12.00;12.00;12.00;12.00;12.00;12.00,0.0,0.085,FORWARD,-45.0,
3.917,12.00;12.00;12.00;12.00;3.82;3.77;12.00;12.00;12.00;12.00;12.00;12.00;12.00,0.0,0.083,FORWARD,-45.0,
4.026,12.00;12.00;12.00;12.00;3.80;3.75;12.00;12.00;12.00;12.00;12.00;12.00;12.00,0.0,0.081,FORWARD,-45.0,
4.136,12.00;12.00;12.00;12.00;3.77;3.73;12.00;12.00;12.00;12.00;12.00;12.00;12.00,0.0,0.079,FORWARD,-45.0,
4.245,12.00;12.00;12.00;12.00;3.74;3.71;12.00;12.00;12.00;12.00;12.00;12.00;12.00,0.0,0.077,FORWARD,-45.0,
4.355,12.00;12.00;12.00;12.00;3.72;3.69;12.00;12.00;12.00;12.00;12.00;12.00;12.00,0.0,0.076,FORWARD,-45.0,
4.466,12.00;12.00;12.00;12.00;3.69;3.67;12.00;12.00;12.00;12.00;12.00;12.00;12.00,0.0,0.074,FORWARD,-45.0,
4.573,12.00;12.00;12.00;12.00;3.67;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00,0.0,0.073,FORWARD,-45.0,
4.682,12.00;12.00;12.00;12.00;3.65;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00,0.0,0.072,FORWARD,-45.0,
4.789,12.00;12.00;12.00;12.00;3.63;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00,0.0,0.07,FORWARD,-45.0,
4.899,12.00;12.00;12.00;12.00;3.61;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00,0.0,0.069,FORWARD,-45.0,
5.009,12.00;12.00;12.00;12.00;3.59;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00,0.0,0.068,FORWARD,-45.0,
5.116,12.00;12.00;12.00;12.00;3.57;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00,0.0,0.066,FORWARD,-45.0,
5.226,12.00;12.00;12.00;12.00;3.55;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00,0.0,0.065,FORWARD,-45.0,
5.334,12.00;12.00;12.00;12.00;3.53;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00,0.0,0.064,FORWARD,-45.0,
5.443,12.00;12.00;12.00;12.00;3.51;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00,0.0,0.062,FORWARD,-45.0,
5.553,12.00;12.00;12.00;3.59;3.49;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00,0.0,0.061,FORWARD,-50.0,
5.663,12.00;12.00;12.00;3.57;3.48;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00,0.0,0.06,FORWARD,-50.0,
5.769,12.00;12.00;12.00;3.55;3.46;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00,0.0,0.06,FORWARD,-50.0,
