t,distances,motor_l,motor_r,state,target_deg,search_side
5.877,12.00;12.00;12.00;3.53;3.44;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00,0.0,0.06,FORWARD,-50.0,
5.987,12.00;12.00;12.00;3.51;3.43;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00,0.0,0.06,FORWARD,-50.0,
6.094,12.00;12.00;12.00;3.49;3.41;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00,0.0,0.06,FORWARD,-50.0,
6.204,12.00;12.00;12.00;3.47;3.40;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00,0.0,0.06,FORWARD,-50.0,
6.314,12.00;12.00;12.00;3.45;3.38;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00,0.0,0.06,FORWARD,-50.0,
6.423,12.00;12.00;12.00;3.43;3.36;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00,0.0,0.06,FORWARD,-50.0,
6.531,12.00;12.00;12.00;3.41;3.35;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00,0.0,0.06,FORWARD,-50.0,
6.64,12.00;12.00;12.00;3.39;3.33;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00,0.0,0.06,FORWARD,-50.0,
6.749,12.00;12.00;12.00;3.37;3.31;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00,0.0,0.06,FORWARD,-50.0,
6.859,12.00;12.00;12.00;3.35;3.30;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00,0.0,0.06,FORWARD,-50.0,
6.969,12.00;12.00;12.00;3.33;3.28;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00,0.0,0.06,FORWARD,-50.0,
7.077,12.00;12.00;12.00;3.31;3.27;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00,0.0,0.06,FORWARD,-50.0,
7.185,12.00;12.00;12.00;3.30;3.25;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00,0.0,0.06,FORWARD,-50.0,
7.294,12.00;12.00;12.00;3.28;3.24;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00,0.0,0.06,FORWARD,-50.0,
7.402,12.00;12.00;12.00;3.26;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00,0.0,0.25,FORWARD,-50.0,
7.513,12.00;12.00;12.00;3.19;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00,0.0,0.25,FORWARD,-50.0,
7.622,12.00;12.00;3.24;3.12;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00,0.36,0.159,FORWARD,20.0,
7.731,12.00;12.00;3.14;3.02;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00,0.36,0.159,FORWARD,20.0,
7.84,12.00;12.00;3.01;2.89;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00,0.36,0.159,FORWARD,20.0,
7.948,12.00;12.00;2.90;2.77;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00,-0.12,-0.3,BACKUP,20.0,right
8.056,12.00;12.00;2.86;2.73;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00,-0.12,-0.3,BACKUP,20.0,right
8.166,12.00;12.00;2.94;2.80;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00,-0.12,-0.3,BACKUP,20.0,right
8.275,12.00;12.00;12.00;2.90;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00,-0.12,-0.3,BACKUP,20.0,right
8.385,12.00;12.00;12.00;3.03;2.96;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00,-0.12,-0.3,BACKUP,20.0,right
8.493,12.00;12.00;12.00;3.15;3.07;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00,-0.12,-0.3,BACKUP,20.0,right
8.603,12.00;12.00;12.00;3.29;3.20;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00,-0.12,-0.3,BACKUP,20.0,right
8.711,12.00;12.00;12.00;3.41;3.30;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00,-0.12,-0.3,BACKUP,20.0,right
8.821,12.00;12.00;12.00;12.00;3.42;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00,-0.12,-0.3,SEARCH,,right
8.931,12.00;12.00;12.00;12.00;3.55;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00,0.18,-0.18,SEARCH,,right
9.037,12.00;12.00;12.00;12.00;3.61;3.57;12.00;12.00;12.00;12.00;12.00;12.00;12.00,0.18,-0.18,SEARCH,,right
9.145,12.00;12.00;12.00;12.00;3.63;3.57;12.00;12.00;12.00;12.00;12.00;12.00;12.00,0.18,-0.18,SEARCH,,right
9.255,12.00;12.00;12.00;12.00;3.65;3.57;12.00;12.00;12.00;12.00;12.00;12.00;12.00,0.18,-0.18,SEARCH,,right
9.365,12.00;12.00;12.00;12.00;3.68;3.58;12.00;12.00;12.00;12.00;12.00;12.00;12.00,0.18,-0.18,SEARCH,,right
9.471,12.00;12.00;12.00;12.00;12.00;3.58;12.00;12.00;12.00;12.00;12.00;12.00;12.00,0.18,-0.18,SEARCH,,right
9.581,12.00;12.00;12.00;12.00;12.00;3.60;12.00;12.00;12.00;12.00;12.00;12.00;12.00,0.18,-0.18,SEARCH,,right
9.689,12.00;12.00;12.00;12.00;12.00;3.62;3.57;12.00;12.00;12.00;12.00;12.00;12.00,0.18,-0.18,SEARCH,,right
9.799,12.00;12.00;12.00;12.00;12.00;3.64;3.57;12.00;12.00;12.00;12.00;12.00;12.00,0.18,-0.18,SEARCH,,right
9.909,12.00;12.00;12.00;12.00;12.00;3.66;3.57;12.00;12.00;12.00;12.00;12.00;12.00,0.18,-0.18,SEARCH,,right
10.017,12.00;12.00;12.00;12.00;12.00;12.00;3.58;12.00;12.00;12.00;12.00;12.00;12.00,0.18,-0.18,SEARCH,,right
10.124,12.00;12.00;12.00;12.00;12.00;12.00;3.59;12.00;12.00;12.00;12.00;12.00;12.00,0.18,-0.18,SEARCH,,right
10.231,12.00;12.00;12.00;12.00;12.00;12.00;3.61;12.00;12.00;12.00;12.00;12.00;12.00,0.18,-0.18,SEARCH,,right
10.34,12.00;12.00;12.00;12.00;12.00;12.00;3.62;3.57;12.00;12.00;12.00;12.00;12.00,0.18,-0.18,SEARCH,,right
10.448,12.00;12.00;12.00;12.00;12.00;12.00;3.65;3.57;12.00;12.00;12.00;12.00;12.00,0.18,-0.18,SEARCH,,right
10.556,12.00;12.00;12.00;12.00;12.00;12.00;3.67;3.58;12.00;12.00;12.00;12.00;12.00,0.18,-0.18,SEARCH,,right
10.665,12.00;12.00;12.00;12.00;12.00;12.00;12.00;3.59;12.00;12.00;12.00;12.00;12.00,0.18,-0.18,SEARCH,,right
10.774,12.00;12.00;12.00;12.00;12.00;12.00;12.00;3.60;12.00;12.00;12.00;12.00;12.00,0.18,-0.18,SEARCH,,right
10.882,12.00;12.00;12.00;12.00;12.00;12.00;12.00;3.62;12.00;12.00;12.00;12.00;12.00,0.18,-0.18,SEARCH,,right
10.992,12.00;12.00;12.00;12.00;12.00;12.00;12.00;3.64;3.57;12.00;12.00;12.00;12.00,0.18,-0.18,SEARCH,,right
11.102,12.00;12.00;12.00;12.00;12.00;12.00;12.00;3.66;3.58;12.00;12.00;12.00;12.00,0.18,-0.18,SEARCH,,right
11.21,12.00;12.00;12.00;12.00;12.00;12.00;12.00;3.69;3.58;12.00;12.00;12.00;12.00,0.18,-0.18,SEARCH,,right
11.316,12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;3.59;12.00;12.00;12.00;12.00,0.18,-0.18,SEARCH,,right
11.426,12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;3.61;12.00;12.00;12.00;12.00,0.18,-0.18,SEARCH,,right
11.534,12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;3.62;3.58;12.00;12.00;12.00,0.18,-0.18,SEARCH,,right
11.642,12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;3.64;3.58;12.00;12.00;12.00,0.18,-0.18,SEARCH,,right
11.752,12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;3.67;3.58;12.00;12.00;12.00,0.18,-0.18,SEARCH,,right
11.858,12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;3.59;12.00;12.00;12.00,0.159,0.36,FORWARD,-20.0,right
11.967,12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;3.62;3.53;12.00;12.00;12.00,0.027,0.091,FORWARD,-25.0,right
12.077,12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;3.57;3.48;12.00;12.00;12.00,0.026,0.086,FORWARD,-25.0,right
12.184,12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;3.54;3.45;12.00;12.00;12.00,0.025,0.084,FORWARD,-25.0,right
12.295,12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;3.51;3.43;12.00;12.00;12.00,0.025,0.081,FORWARD,-25.0,right
12.406,12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;3.48;3.40;12.00;12.00;12.00,0.024,0.079,FORWARD,-25.0,right
12.513,12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;3.45;3.38;12.00;12.00;12.00,0.024,0.078,FORWARD,-25.0,right
12.622,12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;3.43;3.36;12.00;12.00;12.00,0.024,0.078,FORWARD,-25.0,right
12.73,12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;3.40;3.33;12.00;12.00;12.00,0.024,0.078,FORWARD,-25.0,right
12.84,12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;3.37;3.30;12.00;12.00;12.00,0.024,0.078,FORWARD,-25.0,right
12.948,12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;3.34;3.28;12.00;12.00;12.00,0.024,0.078,FORWARD,-25.0,right
13.058,12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;3.31;3.26;12.00;12.00;12.00,0.024,0.078,FORWARD,-25.0,right
13.167,12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;3.29;3.23;12.00;12.00;12.00,0.024,0.078,FORWARD,-25.0,right
13.274,12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;3.26;3.21;12.00;12.00;12.00,0.024,0.078,FORWARD,-25.0,right
13.386,12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;3.25;3.20;12.00;12.00;12.00,0.024,0.078,FORWARD,-25.0,right
13.496,12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;3.21;3.16;12.00;12.00;12.00,0.024,0.078,FORWARD,-25.0,right
13.606,12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;3.18;3.14;12.00;12.00;12.00,0.024,0.078,FORWARD,-25.0,right
13.715,12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;3.15;3.11;12.00;12.00;12.00,0.024,0.078,FORWARD,-25.0,right
13.824,12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;3.13;3.09;12.00;12.00;12.00,0.024,0.078,FORWARD,-25.0,right
13.932,12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;3.10;3.06;12.00;12.00;12.00,0.024,0.078,FORWARD,-25.0,right
14.042,12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;3.07;3.04;12.00;12.00;12.00,0.024,0.078,FORWARD,-25.0,right
14.151,12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;3.05;3.02;12.00;12.00;12.00,0.024,0.078,FORWARD,-25.0,right
14.258,12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;3.02;2.99;12.00;12.00;12.00,0.024,0.078,FORWARD,-25.0,right
14.368,12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;2.99;2.97;12.00;12.00;12.00,0.024,0.078,FORWARD,-25.0,right
14.478,12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;2.97;2.94;12.00;12.00;12.00,0.024,0.078,FORWARD,-25.0,right
14.589,12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;2.94;2.92;12.00;12.00;12.00,0.024,0.078,FORWARD,-25.0,right
14.699,12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;2.91;2.90;12.00;12.00;12.00,0.024,0.078,FORWARD,-25.0,right
14.809,12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;2.88;2.87;12.00;12.00;12.00,0.024,0.078,FORWARD,-25.0,right
14.918,12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;2.86;2.85;12.00;12.00;12.00,0.024,0.078,FORWARD,-25.0,right
15.029,12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;2.83;2.82;12.00;12.00;12.00,0.024,0.078,FORWARD,-25.0,right
15.139,12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;2.80;2.80;12.00;12.00;12.00,0.024,0.078,FORWARD,-25.0,right
15.248,12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;2.78;2.77;12.00;12.00;12.00,-0.12,-0.3,BACKUP,-25.0,right
15.359,12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;2.81;2.80;12.00;12.00;12.00,-0.12,-0.3,BACKUP,-25.0,right
15.469,12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;2.92;2.90;12.00;12.00;12.00,-0.12,-0.3,BACKUP,-25.0,right
15.575,12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;3.03;3.00;12.00;12.00;12.00,-0.12,-0.3,BACKUP,-25.0,right
15.684,12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;3.13;3.10;12.00;12.00;12.00,-0.12,-0.3,BACKUP,-25.0,right
15.794,12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;3.25;3.20;12.00;12.00;12.00,-0.12,-0.3,BACKUP,-25.0,right
15.901,12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;3.35;3.29;12.00;12.00;12.00,-0.12,-0.3,BACKUP,-25.0,right
16.01,12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;3.46;3.39;12.00;12.00;12.00,-0.12,-0.3,BACKUP,-25.0,right
16.121,12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;3.54;3.47;12.00;12.00;12.00,-0.12,-0.3,SEARCH,,right
16.231,12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;3.69;3.60;12.00;12.00;12.00,0.18,-0.18,SEARCH,,right
16.34,12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;3.65;12.00;12.00;12.00,0.159,0.36,FORWARD,-20.0,right
16.45,12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;3.69;3.59;12.00;12.00;12.00,0.029,0.097,FORWARD,-25.0,right
16.558,12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;3.62;3.52;12.00;12.00;12.00,0.027,0.091,FORWARD,-25.0,right
16.669,12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;3.59;3.50;12.00;12.00;12.00,0.027,0.088,FORWARD,-25.0,right
16.775,12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;3.55;3.47;12.00;12.00;12.00,0.026,0.085,FORWARD,-25.0,right
16.884,12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;3.53;3.44;12.00;12.00;12.00,0.025,0.083,FORWARD,-25.0,right
16.993,12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;3.49;3.41;12.00;12.00;12.00,0.024,0.08,FORWARD,-25.0,right
17.106,12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;3.47;3.39;12.00;12.00;12.00,0.024,0.078,FORWARD,-25.0,right
17.214,12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;3.44;3.36;12.00;12.00;12.00,0.024,0.078,FORWARD,-25.0,right
17.322,12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;3.41;3.34;12.00;12.00;12.00,0.024,0.078,FORWARD,-25.0,right
17.432,12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;3.38;3.32;12.00;12.00;12.00,0.024,0.078,FORWARD,-25.0,right
17.54,12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;3.36;3.29;12.00;12.00;12.00,0.024,0.078,FORWARD,-25.0,right
17.648,12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;3.33;3.27;12.00;12.00;12.00,0.024,0.078,FORWARD,-25.0,right
17.757,12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;3.30;3.25;12.00;12.00;12.00,0.024,0.078,FORWARD,-25.0,right
17.867,12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;3.28;3.22;12.00;12.00;12.00,0.024,0.078,FORWARD,-25.0,right
17.977,12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;3.25;3.20;12.00;12.00;12.00,0.024,0.078,FORWARD,-25.0,right
18.085,12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;3.22;3.17;12.00;12.00;12.00,0.024,0.078,FORWARD,-25.0,right
18.193,12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;3.19;3.15;12.00;12.00;12.00,0.024,0.078,FORWARD,-25.0,right
18.302,12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;3.17;3.13;12.00;12.00;12.00,0.024,0.078,FORWARD,-25.0,right
18.409,12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;3.14;3.10;12.00;12.00;12.00,0.024,0.078,FORWARD,-25.0,right
18.517,12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;3.12;3.08;12.00;12.00;12.00,0.024,0.078,FORWARD,-25.0,right
18.629,12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;3.09;3.05;12.00;12.00;12.00,0.024,0.078,FORWARD,-25.0,right
18.738,12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;3.06;3.03;12.00;12.00;12.00,0.024,0.078,FORWARD,-25.0,right
18.845,12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;3.03;3.01;12.00;12.00;12.00,0.024,0.078,FORWARD,-25.0,right
18.952,12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;3.01;2.98;12.00;12.00;12.00,0.024,0.078,FORWARD,-25.0,right
19.06,12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;2.98;2.96;12.00;12.00;12.00,0.024,0.078,FORWARD,-25.0,right
19.168,12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;2.95;2.93;12.00;12.00;12.00,0.024,0.078,FORWARD,-25.0,right
19.278,12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;2.93;2.91;12.00;12.00;12.00,0.024,0.078,FORWARD,-25.0,right
19.387,12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;2.90;2.89;12.00;12.00;12.00,0.024,0.078,FORWARD,-25.0,right
19.494,12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;2.87;2.86;12.00;12.00;12.00,0.024,0.078,FORWARD,-25.0,right
19.605,12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;2.85;2.84;12.00;12.00;12.00,0.024,0.078,FORWARD,-25.0,right
19.714,12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;2.82;2.82;12.00;12.00;12.00,0.024,0.078,FORWARD,-25.0,right
19.823,12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;2.79;2.79;12.00;12.00;12.00,0.024,0.078,FORWARD,-25.0,right
