t,distances,motor_l,motor_r,state,target_deg,search_side
0.002,12.00;12.00;12.00;12.00;12.00;12.00;8.08;12.00;12.00;12.00;12.00;12.00;12.00,0.5,0.5,FORWARD,0.0,
0.108,12.00;12.00;12.00;12.00;12.00;12.00;8.04;12.00;12.00;12.00;12.00;12.00;12.00,0.5,0.5,FORWARD,0.0,
0.22,12.00;12.00;12.00;12.00;12.00;12.00;7.85;12.00;12.00;12.00;12.00;12.00;12.00,0.5,0.5,FORWARD,0.0,
0.33,12.00;12.00;12.00;12.00;12.00;12.00;7.55;12.00;12.00;12.00;12.00;12.00;12.00,0.5,0.5,FORWARD,0.0,
0.436,12.00;12.00;12.00;12.00;12.00;12.00;7.32;12.00;12.00;12.00;12.00;12.00;12.00,0.5,0.5,FORWARD,0.0,
0.545,12.00;12.00;12.00;12.00;12.00;12.00;7.03;12.00;12.00;12.00;12.00;12.00;12.00,0.5,0.5,FORWARD,0.0,
0.655,12.00;12.00;12.00;12.00;12.00;12.00;6.83;12.00;12.00;12.00;12.00;12.00;12.00,0.5,0.5,FORWARD,0.0,
0.765,12.00;12.00;12.00;12.00;12.00;12.00;6.55;12.00;12.00;12.00;12.00;12.00;12.00,0.5,0.5,FORWARD,0.0,
0.871,12.00;12.00;12.00;12.00;12.00;12.00;6.27;12.00;12.00;12.00;12.00;12.00;12.00,0.5,0.5,FORWARD,0.0,
0.98,12.00;12.00;12.00;12.00;12.00;12.00;5.92;12.00;12.00;12.00;12.00;12.00;12.00,0.006,0.494,FORWARD,-35.0,
1.089,12.00;12.00;12.00;12.00;12.00;12.00;5.76;12.00;12.00;12.00;12.00;12.00;12.00,0.005,0.472,FORWARD,-35.0,
1.2,12.00;12.00;12.00;12.00;12.00;5.65;12.00;12.00;12.00;12.00;12.00;12.00;12.00,0.0,0.439,FORWARD,-40.0,
1.311,12.00;12.00;12.00;12.00;12.00;5.48;12.00;12.00;12.00;12.00;12.00;12.00;12.00,0.0,0.416,FORWARD,-40.0,
1.417,12.00;12.00;12.00;12.00;12.00;5.36;12.00;12.00;12.00;12.00;12.00;12.00;12.00,0.0,0.4,FORWARD,-40.0,
1.528,12.00;12.00;12.00;12.00;12.00;5.28;12.00;12.00;12.00;12.00;12.00;12.00;12.00,0.0,0.389,FORWARD,-40.0,
1.636,12.00;12.00;12.00;12.00;5.21;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00,0.0,0.5,FORWARD,-45.0,
1.744,12.00;12.00;12.00;12.00;5.03;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00,0.0,0.5,FORWARD,-45.0,
1.852,12.00;12.00;12.00;12.00;4.89;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00,0.553,0.098,FORWARD,25.0,
1.958,12.00;12.00;12.00;12.00;4.76;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00,0.553,0.098,FORWARD,25.0,
2.067,12.00;12.00;12.00;12.00;4.59;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00,0.553,0.098,FORWARD,25.0,
2.178,12.00;12.00;12.00;12.00;4.43;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00,0.553,0.098,FORWARD,25.0,
2.287,12.00;12.00;12.00;12.00;4.29;4.21;12.00;12.00;12.00;12.00;12.00;12.00;12.00,0.261,0.021,FORWARD,30.0,
2.397,12.00;12.00;12.00;12.00;4.20;4.11;12.00;12.00;12.00;12.00;12.00;12.00;12.00,0.253,0.013,FORWARD,30.0,
2.508,12.00;12.00;12.00;12.00;4.16;4.06;12.00;12.00;12.00;12.00;12.00;12.00;12.00,0.249,0.009,FORWARD,30.0,
2.619,12.00;12.00;12.00;12.00;4.10;3.98;12.00;12.00;12.00;12.00;12.00;12.00;12.00,0.243,0.003,FORWARD,30.0,
2.726,12.00;12.00;12.00;12.00;12.00;3.93;12.00;12.00;12.00;12.00;12.00;12.00;12.00,0.239,-0.001,FORWARD,30.0,
2.835,12.00;12.00;12.00;12.00;12.00;3.87;12.00;12.00;12.00;12.00;12.00;12.00;12.00,0.234,-0.006,FORWARD,30.0,
2.942,12.00;12.00;12.00;12.00;12.00;3.82;12.00;12.00;12.00;12.00;12.00;12.00;12.00,0.23,-0.01,FORWARD,30.0,
3.052,12.00;12.00;12.00;12.00;12.00;3.76;12.00;12.00;12.00;12.00;12.00;12.00;12.00,0.225,-0.015,FORWARD,30.0,
3.161,12.00;12.00;12.00;12.00;12.00;3.73;12.00;12.00;12.00;12.00;12.00;12.00;12.00,0.223,-0.017,FORWARD,30.0,
