t,distances,motor_l,motor_r,state,target_deg,search_side
0.001,12.00;12.00;12.00;12.00;12.00;12.00;8.08;12.00;12.00;12.00;12.00;12.00;12.00,0.5,0.5,FORWARD,0.0,
0.107,12.00;12.00;12.00;12.00;12.00;12.00;8.04;12.00;12.00;12.00;12.00;12.00;12.00,0.5,0.5,FORWARD,0.0,
0.216,12.00;12.00;12.00;12.00;12.00;12.00;7.87;12.00;12.00;12.00;12.00;12.00;12.00,0.5,0.5,FORWARD,0.0,
0.325,12.00;12.00;12.00;12.00;12.00;12.00;7.60;12.00;12.00;12.00;12.00;12.00;12.00,0.5,0.5,FORWARD,0.0,
0.433,12.00;12.00;12.00;12.00;12.00;12.00;7.34;12.00;12.00;12.00;12.00;12.00;12.00,0.5,0.5,FORWARD,0.0,
0.541,12.00;12.00;12.00;12.00;12.00;12.00;7.02;12.00;12.00;12.00;12.00;12.00;12.00,0.5,0.5,FORWARD,0.0,
0.653,12.00;12.00;12.00;12.00;12.00;12.00;6.83;12.00;12.00;12.00;12.00;12.00;12.00,0.5,0.5,FORWARD,0.0,
0.762,12.00;12.00;12.00;12.00;12.00;12.00;6.48;12.00;12.00;12.00;12.00;12.00;12.00,0.5,0.5,FORWARD,0.0,
0.871,12.00;12.00;12.00;12.00;12.00;12.00;6.24;12.00;12.00;12.00;12.00;12.00;12.00,0.5,0.5,FORWARD,0.0,
0.984,12.00;12.00;12.00;12.00;12.00;12.00;5.96;12.00;12.00;12.00;12.00;12.00;12.00,0.006,0.5,FORWARD,-35.0,
1.092,12.00;12.00;12.00;12.00;12.00;5.79;12.00;12.00;12.00;12.00;12.00;12.00;12.00,0.0,0.459,FORWARD,-40.0,
1.199,12.00;12.00;12.00;12.00;12.00;5.65;12.00;12.00;12.00;12.00;12.00;12.00;12.00,0.0,0.439,FORWARD,-40.0,
1.309,12.00;12.00;12.00;12.00;12.00;5.52;12.00;12.00;12.00;12.00;12.00;12.00;12.00,0.0,0.422,FORWARD,-40.0,
1.419,12.00;12.00;12.00;12.00;12.00;5.44;12.00;12.00;12.00;12.00;12.00;12.00;12.00,0.0,0.411,FORWARD,-40.0,
1.526,12.00;12.00;12.00;12.00;12.00;5.32;12.00;12.00;12.00;12.00;12.00;12.00;12.00,0.0,0.394,FORWARD,-40.0,
1.636,12.00;12.00;12.00;12.00;5.23;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00,0.0,0.5,FORWARD,-45.0,
1.744,12.00;12.00;12.00;12.00;5.07;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00,0.0,0.5,FORWARD,-45.0,
1.853,12.00;12.00;12.00;12.00;4.92;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00,0.0,0.5,FORWARD,-45.0,
1.963,12.00;12.00;12.00;4.85;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00,0.5,0.5,FORWARD,0.0,
2.07,12.00;12.00;12.00;4.69;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00,0.5,0.5,FORWARD,0.0,
2.179,12.00;12.00;12.00;4.41;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00,0.562,0.159,FORWARD,20.0,
2.289,12.00;12.00;12.00;4.24;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00,0.562,0.159,FORWARD,20.0,
2.398,12.00;12.00;12.00;4.08;4.33;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00,0.553,0.098,FORWARD,25.0,
2.507,12.00;12.00;12.00;3.95;3.83;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00,0.228,-0.012,FORWARD,25.0,
2.617,12.00;12.00;12.00;3.86;3.72;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00,0.219,-0.021,FORWARD,25.0,
2.726,12.00;12.00;12.00;3.82;3.67;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00,0.215,-0.025,FORWARD,25.0,
2.834,12.00;12.00;12.00;3.79;3.63;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00,0.211,-0.029,FORWARD,25.0,
2.942,12.00;12.00;12.00;3.77;3.59;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00,0.208,-0.032,FORWARD,25.0,
3.051,12.00;12.00;12.00;12.00;3.55;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00,0.205,-0.035,FORWARD,25.0,
3.159,12.00;12.00;12.00;12.00;3.52;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00,0.202,-0.038,FORWARD,25.0,
3.27,12.00;12.00;12.00;12.00;3.50;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00,0.2,-0.04,FORWARD,25.0,
3.383,12.00;12.00;12.00;12.00;3.48;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00,0.199,-0.041,FORWARD,25.0,
3.493,12.00;12.00;12.00;12.00;3.45;3.53;12.00;12.00;12.00;12.00;12.00;12.00;12.00,0.19,-0.05,FORWARD,30.0,
3.599,12.00;12.00;12.00;12.00;3.43;3.30;12.00;12.00;12.00;12.00;12.00;12.00;12.00,0.19,-0.05,FORWARD,30.0,
3.708,12.00;12.00;12.00;12.00;3.41;3.27;12.00;12.00;12.00;12.00;12.00;12.00;12.00,0.19,-0.05,FORWARD,30.0,
3.82,12.00;12.00;12.00;12.00;3.40;3.25;12.00;12.00;12.00;12.00;12.00;12.00;12.00,0.19,-0.05,FORWARD,30.0,
3.926,12.00;12.00;12.00;12.00;3.38;3.21;12.00;12.00;12.00;12.00;12.00;12.00;12.00,0.19,-0.05,FORWARD,30.0,
4.036,12.00;12.00;12.00;12.00;3.37;3.19;12.00;12.00;12.00;12.00;12.00;12.00;12.00,0.19,-0.05,FORWARD,30.0,
4.145,12.00;12.00;12.00;12.00;3.36;3.17;12.00;12.00;12.00;12.00;12.00;12.00;12.00,0.19,-0.05,FORWARD,30.0,
4.252,12.00;12.00;12.00;12.00;12.00;3.14;12.00;12.00;12.00;12.00;12.00;12.00;12.00,0.19,-0.05,FORWARD,30.0,
