t,distances,motor_l,motor_r,target_bearing_deg,ray_distance_m,arrived,hazard,blob_seen
0.226,12.00;5.89;1.76;1.37;1.36;0.83;0.83;12.00;1.24;1.22;12.00;12.00;12.00,0.13,0.23,-3.0,0.833,False,False,True
0.519,12.00;5.89;1.76;1.37;1.36;0.83;0.83;12.00;1.24;1.22;12.00;12.00;12.00,0.13,0.23,-3.0,0.833,False,False,True
0.831,12.00;5.73;1.64;1.26;1.26;0.71;0.70;12.00;12.00;1.11;12.00;12.00;12.00,0.13,0.23,-1.7,0.701,False,False,True
1.115,12.00;5.58;1.42;1.08;1.07;0.56;0.53;0.55;12.00;12.00;0.95;12.00;12.00,0.23,0.13,0.5,0.528,False,False,True
1.404,12.00;5.53;1.30;0.95;0.96;0.47;0.41;0.41;0.46;12.00;12.00;0.86;12.00,0.0,0.0,2.5,0.409,True,False,True
