t,distances,motor_l,motor_r,target_bearing_deg,ray_distance_m,arrived,hazard,blob_seen
0.171,12.00;12.00;0.73;12.00;12.00;12.00;12.00;0.74;0.74;0.72;0.74;0.75;12.00,0.095,0.265,-22.6,0.73,False,False,True
0.451,12.00;12.00;0.73;12.00;12.00;12.00;12.00;0.74;0.74;0.72;0.74;0.75;12.00,0.095,0.265,-22.6,0.73,False,False,True
0.749,12.00;0.63;0.62;12.00;12.00;12.00;12.00;0.70;0.63;0.62;0.63;0.63;12.00,0.092,0.268,-23.3,0.617,False,False,True
1.036,12.00;0.51;0.51;12.00;12.00;12.00;12.00;11.10;0.56;0.52;0.52;0.52;0.54,0.0,0.0,-24.5,0.51,False,True,True
