t,distances,motor_l,motor_r,target_bearing_deg,ray_distance_m,arrived,hazard,blob_seen
0.203,12.00;5.86;5.82;1.54;1.37;1.40;0.83;0.86;12.00;1.23;12.00;12.00;12.00,0.23,0.13,0.7,0.827,False,False,True
0.524,12.00;5.86;5.82;1.54;1.37;1.40;0.83;0.86;12.00;1.23;12.00;12.00;12.00,0.23,0.13,0.7,0.827,False,False,True
0.822,12.00;5.72;1.69;1.26;1.25;0.72;0.70;0.75;12.00;1.11;12.00;12.00;12.00,0.13,0.23,-0.8,0.7,False,False,True
1.146,12.00;5.69;1.34;1.13;1.17;0.59;0.59;12.00;12.00;1.00;1.02;12.00;12.00,0.13,0.23,-2.6,0.593,False,False,True
1.425,12.00;5.53;1.10;0.97;0.98;0.43;0.41;0.44;12.00;12.00;0.85;0.86;12.00,0.0,0.0,-0.6,0.413,True,False,True
