t,distances,motor_l,motor_r,target_bearing_deg,ray_distance_m,arrived,hazard,blob_seen
0.218,12.00;12.00;5.87;1.63;1.36;1.38;0.83;0.84;12.00;1.23;1.25;12.00;12.00,0.23,0.13,1.8,0.827,False,False,True
0.548,12.00;12.00;5.87;1.63;1.36;1.38;0.83;0.84;12.00;1.23;1.25;12.00;12.00,0.23,0.13,1.8,0.827,False,False,True
0.867,12.00;5.69;1.66;1.19;1.19;0.68;0.65;0.69;12.00;1.07;1.07;12.00;12.00,0.13,0.23,-0.2,0.646,False,False,True
1.172,12.00;5.69;1.26;1.09;1.12;0.54;0.54;12.00;12.00;0.97;0.95;12.00;12.00,0.13,0.23,-1.9,0.535,False,False,True
1.463,12.00;1.52;0.91;0.90;0.40;0.34;0.35;0.38;12.00;12.00;0.80;0.79;12.00,0.0,0.0,-1.8,0.346,True,False,True
