t,distances,motor_l,motor_r,target_bearing_deg,ray_distance_m,arrived,hazard,blob_seen
0.216,12.00;6.04;5.83;1.58;1.37;1.41;0.83;0.85;12.00;1.23;12.00;12.00;12.00,0.23,0.13,1.1,0.827,False,False,True
0.556,12.00;6.04;5.83;1.58;1.37;1.41;0.83;0.85;12.00;1.23;12.00;12.00;12.00,0.23,0.13,1.1,0.827,False,False,True
0.9,12.00;5.74;5.76;1.28;1.25;0.74;0.71;0.74;12.00;1.12;1.14;12.00;12.00,0.13,0.23,-0.4,0.708,False,False,True
1.192,12.00;5.69;1.21;1.10;1.11;0.54;0.55;12.00;12.00;0.96;0.96;12.00;12.00,0.13,0.23,-3.0,0.547,False,False,True
1.503,12.00;5.53;1.03;0.98;1.01;0.42;0.42;0.46;12.00;12.00;0.85;0.92;12.00,0.0,0.0,-1.7,0.421,True,False,True
