t,distances,motor_l,motor_r,target_bearing_deg,ray_distance_m,arrived,hazard,blob_seen
0.223,12.00;5.27;0.80;0.80;0.83;0.87;0.92;1.00;12.00;12.00;12.00;0.72;12.00,0.13,0.23,-10.4,0.828,False,False,True
0.539,12.00;5.27;0.80;0.80;0.83;0.87;0.92;1.00;12.00;12.00;12.00;0.72;12.00,0.13,0.23,-10.4,0.828,False,False,True
0.832,12.00;1.03;0.69;0.69;0.71;0.74;0.79;0.85;0.94;12.00;12.00;12.00;12.00,0.23,0.13,5.0,0.853,False,False,True
1.133,12.00;0.63;0.57;0.58;0.60;0.63;0.66;0.71;0.78;12.00;12.00;12.00;12.00,0.235,0.125,14.7,0.782,False,False,True
1.405,0.42;0.42;0.42;0.43;0.44;0.47;0.49;0.53;0.58;12.00;12.00;12.00;12.00,0.0,0.0,14.2,0.585,False,True,True
