t,distances,motor_l,motor_r,target_bearing_deg,ray_distance_m,arrived,hazard,blob_seen
0.165,12.00;12.00;5.87;1.63;1.35;1.39;0.83;0.84;12.00;1.23;1.24;12.00;12.00,0.23,0.13,2.0,0.827,False,False,True
0.429,12.00;12.00;5.87;1.63;1.35;1.39;0.83;0.84;12.00;1.23;1.24;12.00;12.00,0.23,0.13,2.0,0.827,False,False,True
0.7,12.00;5.86;5.76;1.33;1.25;0.77;0.71;0.74;12.00;1.13;1.12;12.00;12.00,0.23,0.13,0.8,0.711,False,False,True
0.97,12.00;5.60;1.27;1.09;1.10;0.53;0.53;0.58;12.00;0.96;0.95;12.00;12.00,0.13,0.23,-1.8,0.531,False,False,True
1.23,12.00;1.39;0.97;0.97;0.44;0.41;0.43;12.00;12.00;12.00;0.84;12.00;12.00,0.0,0.0,-4.2,0.411,True,False,True
