t,distances,motor_l,motor_r,target_bearing_deg,ray_distance_m,arrived,hazard,blob_seen
0.136,12.00;1.13;0.86;0.87;0.32;0.31;0.31;0.33;12.00;12.00;0.75;0.74;12.00,0.282,0.078,27.2,0.749,False,False,True
0.39,12.00;1.13;0.86;0.87;0.32;0.31;0.31;0.33;12.00;12.00;0.75;0.74;12.00,0.282,0.078,27.2,0.749,False,False,True
0.639,12.00;0.74;0.75;0.32;0.31;0.31;0.94;12.00;12.00;12.00;12.00;0.62;12.00,0.282,0.078,27.2,0.749,False,False,True
0.884,12.00;0.67;0.69;0.71;0.75;0.80;12.00;12.00;12.00;12.00;12.00;0.52;0.52,0.282,0.078,27.2,0.749,False,False,True
1.131,0.60;0.60;0.62;0.64;0.69;0.74;12.00;12.00;12.00;12.00;12.00;0.42;0.41,0.0,0.0,27.2,0.749,False,True,True
