t,distances,motor_l,motor_r,target_bearing_deg,ray_distance_m,arrived,hazard,blob_seen
0.166,12.00;1.00;0.87;0.89;0.31;0.31;0.33;12.00;12.00;12.00;0.74;0.75;12.00,0.273,0.087,24.6,0.745,False,False,True
0.433,12.00;1.00;0.87;0.89;0.31;0.31;0.33;12.00;12.00;12.00;0.74;0.75;12.00,0.273,0.087,24.6,0.745,False,False,True
0.711,12.00;0.77;0.33;0.32;0.31;0.31;0.99;12.00;12.00;12.00;0.64;0.63;12.00,0.275,0.085,25.2,0.635,False,False,True
0.995,12.00;0.69;0.71;0.74;0.78;0.84;12.00;12.00;12.00;12.00;0.53;0.52;12.00,0.28,0.08,26.5,0.53,False,False,True
1.268,0.63;0.63;0.65;0.68;0.72;12.00;12.00;12.00;12.00;12.00;12.00;0.42;0.42,0.286,0.074,28.2,0.422,False,False,True
1.586,0.57;0.57;0.59;0.62;0.66;12.00;12.00;12.00;12.00;11.91;11.73;12.00;0.38,0.0,0.0,28.2,0.422,False,True,True
