t,distances,motor_l,motor_r,target_bearing_deg,ray_distance_m,arrived,hazard,blob_seen
0.193,12.00;11.97;5.87;1.68;1.36;1.38;0.83;0.83;12.00;1.24;1.24;12.00;12.00,0.23,0.13,2.7,0.827,False,False,True
0.48,12.00;11.97;5.87;1.68;1.36;1.38;0.83;0.83;12.00;1.24;1.24;12.00;12.00,0.23,0.13,2.7,0.827,False,False,True
0.749,12.00;5.86;5.76;1.39;1.25;1.30;0.72;0.73;12.00;1.14;1.13;12.00;12.00,0.23,0.13,1.6,0.715,False,False,True
1.048,12.00;5.69;1.55;1.13;1.14;0.64;0.60;0.63;12.00;1.04;1.02;12.00;12.00,0.23,0.13,0.2,0.601,False,False,True
1.337,12.00;5.56;1.00;0.98;0.49;0.42;0.43;0.47;12.00;12.00;0.85;12.00;12.00,0.0,0.0,-2.6,0.429,True,False,True
