t,distances,motor_l,motor_r,target_bearing_deg,ray_distance_m,arrived,hazard,blob_seen
0.148,12.00;1.18;0.80;0.80;0.83;0.88;0.93;1.02;12.00;12.00;12.00;0.70;12.00,0.13,0.23,-11.5,0.829,False,False,True
0.401,12.00;1.18;0.80;0.80;0.83;0.88;0.93;1.02;12.00;12.00;12.00;0.70;12.00,0.13,0.23,-11.5,0.829,False,False,True
0.655,12.00;1.01;0.73;0.74;0.76;0.81;0.86;0.92;12.00;12.00;12.00;12.00;12.00,0.13,0.23,-11.3,0.762,False,False,True
0.907,12.00;0.63;0.62;0.63;0.65;0.68;0.72;0.79;0.86;12.00;12.00;12.00;12.00,0.23,0.13,4.9,0.786,False,False,True
1.145,12.00;0.51;0.51;0.52;0.54;0.56;0.60;0.64;0.70;12.00;12.00;12.00;12.00,0.0,0.0,14.6,0.703,False,True,True
