t,distances,motor_l,motor_r,target_bearing_deg,ray_distance_m,arrived,hazard,blob_seen
0.163,12.00;6.23;5.87;1.60;1.38;1.39;0.83;0.84;12.00;1.23;1.26;12.00;12.00,0.23,0.13,1.6,0.827,False,False,True
0.445,12.00;6.23;5.87;1.60;1.38;1.39;0.83;0.84;12.00;1.23;1.26;12.00;12.00,0.23,0.13,1.6,0.827,False,False,True
0.711,12.00;5.72;5.76;1.30;1.25;0.76;0.71;0.74;12.00;1.12;1.12;12.00;12.00,0.23,0.13,0.2,0.711,False,False,True
0.981,12.00;5.69;1.43;1.14;1.15;0.60;0.59;0.64;12.00;1.01;1.01;12.00;12.00,0.13,0.23,-1.4,0.593,False,False,True
1.24,12.00;5.57;1.06;1.03;0.53;0.48;0.49;12.00;12.00;0.91;0.90;12.00;12.00,0.13,0.23,-3.4,0.478,False,False,True
1.483,12.00;1.47;0.92;0.92;0.41;0.36;0.36;0.39;12.00;12.00;0.80;0.80;12.00,0.0,0.0,-2.2,0.359,True,False,True
