t,distances,motor_l,motor_r,target_bearing_deg,ray_distance_m,arrived,hazard,blob_seen
0.169,12.00;6.23;5.87;1.58;1.37;1.39;0.83;0.84;12.00;1.23;1.27;12.00;12.00,0.23,0.13,1.5,0.827,False,False,True
0.438,12.00;6.23;5.87;1.58;1.37;1.39;0.83;0.84;12.00;1.23;1.27;12.00;12.00,0.23,0.13,1.5,0.827,False,False,True
0.714,12.00;5.74;5.76;1.28;1.25;0.74;0.70;0.74;12.00;1.12;1.12;12.00;12.00,0.13,0.23,-0.0,0.7,False,False,True
0.98,12.00;5.69;1.38;1.13;1.15;0.59;0.59;12.00;12.00;1.01;1.00;12.00;12.00,0.13,0.23,-1.7,0.585,False,False,True
1.24,12.00;5.57;1.23;1.02;1.02;0.48;0.46;0.49;12.00;12.00;0.90;12.00;12.00,0.13,0.23,-0.2,0.461,False,False,True
1.493,12.00;5.41;1.04;0.89;0.92;0.38;0.35;0.36;0.39;12.00;12.00;0.80;12.00,0.0,0.0,1.7,0.347,True,False,True
