t,distances,motor_l,motor_r,target_bearing_deg,ray_distance_m,arrived,hazard,blob_seen
0.159,12.00;5.27;0.86;0.78;0.80;0.83;0.88;0.95;12.00;12.00;12.00;12.00;12.00,0.13,0.23,-8.5,0.832,False,False,True
0.412,12.00;5.27;0.86;0.78;0.80;0.83;0.88;0.95;12.00;12.00;12.00;12.00;12.00,0.13,0.23,-8.5,0.832,False,False,True
0.659,12.00;5.10;0.67;0.67;0.68;0.71;0.75;0.81;0.89;12.00;12.00;12.00;12.00,0.23,0.13,6.5,0.814,False,False,True
0.899,12.00;0.98;0.55;0.55;0.57;0.59;0.62;0.67;0.73;0.82;12.00;12.00;12.00,0.241,0.119,16.1,0.815,False,False,True
1.123,12.00;0.45;0.45;0.46;0.47;0.49;0.52;0.56;0.61;0.68;12.00;12.00;12.00,0.0,0.0,16.1,0.815,False,True,True
