t,distances,motor_l,motor_r,target_bearing_deg,ray_distance_m,arrived,hazard,blob_seen
0.171,12.00;5.86;5.82;1.55;1.38;1.39;0.83;0.85;12.00;1.22;12.00;12.00;12.00,0.23,0.13,0.9,0.827,False,False,True
0.442,12.00;5.86;5.82;1.55;1.38;1.39;0.83;0.85;12.00;1.22;12.00;12.00;12.00,0.23,0.13,0.9,0.827,False,False,True
0.704,12.00;5.73;1.74;1.27;1.26;0.74;0.71;0.75;12.00;1.12;12.00;12.00;12.00,0.13,0.23,-0.6,0.708,False,False,True
0.967,12.00;5.69;1.33;1.14;1.17;0.59;0.59;12.00;12.00;1.00;1.01;12.00;12.00,0.13,0.23,-2.4,0.591,False,False,True
1.226,12.00;5.57;1.07;1.02;0.53;0.47;0.48;12.00;12.00;0.91;0.89;12.00;12.00,0.13,0.23,-3.2,0.468,False,False,True
1.469,12.00;5.46;0.91;0.90;0.40;0.35;0.35;0.38;12.00;12.00;0.80;0.79;12.00,0.0,0.0,-1.9,0.35,True,False,True
