t,distances,motor_l,motor_r,target_bearing_deg,ray_distance_m,arrived,hazard,blob_seen
0.173,12.00;1.02;0.72;0.74;0.76;0.80;0.85;0.92;12.00;12.00;12.00;12.00;12.00,0.13,0.23,-10.9,0.758,False,False,True
0.424,12.00;1.02;0.72;0.74;0.76;0.80;0.85;0.92;12.00;12.00;12.00;12.00;12.00,0.13,0.23,-10.9,0.758,False,False,True
0.673,12.00;0.66;0.62;0.63;0.64;0.68;0.72;0.77;0.85;12.00;12.00;12.00;12.00,0.23,0.13,5.3,0.769,False,False,True
0.912,12.00;0.56;0.56;0.57;0.59;0.61;0.65;0.70;0.77;12.00;12.00;12.00;12.00,0.0,0.0,14.3,0.769,False,True,True
