t,distances,motor_l,motor_r,target_bearing_deg,ray_distance_m,arrived,hazard,blob_seen
0.161,12.00;6.23;5.83;1.58;1.35;1.41;0.83;0.85;12.00;1.23;12.00;12.00;12.00,0.23,0.13,1.1,0.827,False,False,True
0.444,12.00;6.23;5.83;1.58;1.35;1.41;0.83;0.85;12.00;1.23;12.00;12.00;12.00,0.23,0.13,1.1,0.827,False,False,True
0.716,12.00;5.74;5.76;1.28;1.25;0.74;0.70;0.74;12.00;1.12;1.13;12.00;12.00,0.13,0.23,-0.3,0.704,False,False,True
0.981,12.00;5.69;1.38;1.14;1.16;0.59;0.59;12.00;12.00;1.01;1.01;12.00;12.00,0.13,0.23,-2.0,0.588,False,False,True
1.24,12.00;5.57;1.11;1.03;1.05;0.47;0.48;0.61;12.00;12.00;0.90;12.00;12.00,0.13,0.23,-2.3,0.477,False,False,True
1.492,12.00;5.53;0.92;0.90;0.93;0.35;0.34;0.37;12.00;12.00;0.80;0.78;12.00,0.0,0.0,-0.8,0.344,True,False,True
