t,distances,motor_l,motor_r,target_bearing_deg,ray_distance_m,arrived,hazard,blob_seen
0.151,12.00;1.29;0.78;0.78;0.81;0.85;0.91;0.97;12.00;12.00;12.00;12.00;12.00,0.13,0.23,-10.4,0.805,False,False,True
0.402,12.00;1.29;0.78;0.78;0.81;0.85;0.91;0.97;12.00;12.00;12.00;12.00;12.00,0.13,0.23,-10.4,0.805,False,False,True
0.654,12.00;1.13;0.72;0.72;0.74;0.78;0.83;0.90;12.00;12.00;12.00;12.00;12.00,0.13,0.23,-8.5,0.78,False,False,True
0.911,12.00;0.73;0.60;0.61;0.63;0.65;0.70;0.76;0.82;12.00;12.00;12.00;12.00,0.23,0.13,5.7,0.756,False,False,True
1.145,12.00;0.49;0.49;0.50;0.52;0.54;0.57;0.61;0.67;12.00;12.00;12.00;12.00,0.0,0.0,15.6,0.671,False,True,True
